team_name_away,player_names_away,player_numbers_away
France,"['Giroud', 'Mbappé', 'Griezmann', 'Dembélé', 'Rabiot', 'Tchouaméni', 'Hernandez', 'Upamecano', 'Varane', 'Koundé', 'Lloris']","['9', '10', '7', '11', '14', '8', '22', '18', '4', '5', '1']"
Morocco,"['Boufal', 'En-Nesyri', 'Ziyech', 'Sabiri', 'Amrabat', 'El Khannous', 'Attiyat Allah', 'Dari', 'El Yamiq', 'Hakimi', 'Bono']","['17', '19', '7', '11', '4', '23', '25', '20', '18', '2', '1']"
Morocco,"['En-Nesyri', 'Boufal', 'Amrabat', 'Ounahi', 'Ziyech', 'Mazraoui', 'El Yamiq', 'Saïss', 'Dari', 'Hakimi', 'Bono']","['19', '17', '4', '8', '7', '3', '18', '6', '20', '2', '1']"
Croatia,"['Perišić', 'Kramarić', 'Pašalić', 'Kovačić', 'Brozović', 'Modrić', 'Sosa', 'Gvardiol', 'Lovren', 'Juranović', 'Livaković']","['4', '9', '15', '8', '11', '10', '19', '20', '6', '22', '1']"
France,"['Giroud', 'Mbappé', 'Griezmann', 'Dembélé', 'Rabiot', 'Tchouaméni', 'Hernandez', 'Upamecano', 'Varane', 'Koundé', 'Lloris']","['9', '10', '7', '11', '14', '8', '22', '18', '4', '5', '1']"
Portugal,"['Félix', 'Ramos', 'Fernandes', 'Otávio', 'Neves', 'Bernardo Silva', 'Guerreiro', 'Dias', 'Pepe', 'Dalot', 'Costa']","['11', '26', '8', '25', '18', '10', '5', '4', '3', '2', '22']"
Argentina,"['Álvarez', 'Messi', 'Mac Allister', 'Fernández', 'De Paul', 'Acuña', 'Martínez', 'Otamendi', 'Romero', 'Molina', 'Martínez']","['9', '10', '20', '24', '7', '8', '25', '19', '13', '26', '23']"
Brazil,"['Richarlison', 'Vinícius Júnior', 'Neymar', 'Raphinha', 'Casemiro', 'Lucas Paquetá', 'Danilo', 'Thiago Silva', 'Marquinhos', 'Éder Militão', 'Alisson']","['9', '20', '10', '11', '5', '7', '2', '3', '4', '14', '1']"
Switzerland,"['Shaqiri', 'Embolo', 'Vargas', 'Freuler', 'Sow', 'Fernandes', 'Xhaka', 'Rodríguez', 'Schär', 'Akanji', 'Sommer']","['23', '7', '17', '8', '15', '2', '10', '13', '22', '5', '1']"
Spain,"['Olmo', 'Asensio', 'Torres', 'Pedri', 'Busquets', 'Gavi', 'Alba', 'Laporte', 'Rodri', 'Llorente', 'Simón']","['21', '10', '11', '26', '5', '9', '18', '24', '16', '6', '23']"
