event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Argentina,home,23,Penalty,Messi,nan
2,1,Argentina,home,36,Goal,Di María,Mac Allister
3,1,France,away,41,Substitution,Kolo Muani,Dembélé
4,1,France,away,41,Substitution,Thuram,Giroud
5,1,Argentina,home,52,Yellow card,Fernández,nan
6,1,France,away,55,Yellow card,Rabiot,nan
7,1,Argentina,home,64,Substitution,Acuña,Di María
8,1,France,away,71,Substitution,Camavinga,Hernandez
9,1,France,away,71,Substitution,Coman,Griezmann
10,1,France,away,80,Penalty,Mbappé,Penalty
11,1,France,away,81,Goal,Mbappé,Thuram
12,1,France,away,87,Yellow card,Thuram,nan
13,1,France,away,95,Yellow card,Giroud,nan
14,1,Argentina,home,98,Yellow card,Acuña,nan
15,1,Argentina,home,90,Substitution,Montiel,Molina
16,1,France,away,96,Substitution,Fofana,Rabiot
17,1,Argentina,home,102,Substitution,Paredes,De Paul
18,1,Argentina,home,103,Substitution,Martínez,Álvarez
19,1,Argentina,home,108,Goal,Messi,nan
20,1,France,away,113,Substitution,Konaté,Varane
21,1,Argentina,home,114,Yellow card,Paredes,nan
22,1,Argentina,home,116,Yellow card,Montiel,nan
23,1,Argentina,home,116,Substitution,Pezzella,Mac Allister
24,1,France,away,118,Penalty,Mbappé,Penalty
25,1,Argentina,home,121,Substitution,Dybala,Tagliafico
26,1,France,away,121,Substitution,Disasi,Koundé
27,1,France,away,,PK,nan,nan
28,1,Argentina,home,,PK,nan,nan
29,1,France,away,,PK,nan,nan
30,1,Argentina,home,,PK,nan,nan
31,1,France,away,,PK,nan,nan
32,1,Argentina,home,,PK,nan,nan
33,1,France,away,,PK,nan,nan
34,1,Argentina,home,,PK,nan,nan
35,1,Argentina,home,126,Yellow card,Martínez,nan
36,2,Croatia,home,7,Goal,Gvardiol,Perišić
37,2,Morocco,away,9,Goal,Dari,nan
38,2,Croatia,home,42,Goal,Oršić,Livaja
39,2,Morocco,away,45,Substitution,Chair,Sabiri
40,2,Morocco,away,56,Substitution,Ounahi,El Khannous
41,2,Croatia,home,61,Substitution,Vlašić,Kramarić
42,2,Morocco,away,64,Substitution,Benoun,Dari
43,2,Morocco,away,64,Substitution,Zaroury,Boufal
44,2,Croatia,home,66,Substitution,Petković,Livaja
45,2,Croatia,home,67,Substitution,Pašalić,Majer
46,2,Morocco,away,67,Substitution,Amallah,El Yamiq
47,2,Morocco,away,69,Yellow card,Ounahi,nan
48,2,Morocco,away,84,Yellow card,Amallah,nan
49,2,Croatia,home,95,Substitution,Jakić,Oršić
50,3,France,home,5,Goal,Hernandez,nan
51,3,Morocco,away,21,Substitution,Amallah,Saïss
52,3,Morocco,away,27,Yellow card,Boufal,nan
